razao_social;nome_fantasia;cnpj;email;telefone;celular;responsavel;cep;endereco;numero;complemento;bairro;cidade;estado;porte;limite_aprovado;observacao;corretora_nome;data_cadastro
BESIX-ECB SPE LTDA;;48.359.355/0001-06;;;;;;;;;;;;;124.600,00;;Hbseg Corretora De Seguros Ltda;12/09/2025
DOTERRA DO BRASIL LTDA;;22.092.327/0001-73;;;;;;;;;;;;;100.750.000,00;;Sanyuu Corretagem De Seguros Ltda;24/09/2025
ELFA MEDICAMENTOS S.A;;09.053.134/0001-45;;;;;;;;;;;;;200.000.000,00;;Alper Consultoria E Corretora De Seguros;03/10/2025
FIBRAVIP ARTEFATOS DE FIBRA DE VIDRO LTDA;;04.470.781/0001-39;;;;;;;;;;;;;;;J&F Jemfam Corretora De Seguros Ltda;03/10/2025
BANCO SANTANDER (BRASIL) S.A.;;90.400.888/0001-42;;;;;;;;;;;;;85.599.768,05;;Howden Brasil Consultoria E Corretora De Seguros Ltda;09/10/2025
MITUTOYO SUL AMERICANA LTDA;;59.408.005/0001-09;;;;;;;;;;;;;15.108.581,45;;Sanyuu Corretagem De Seguros Ltda;14/10/2025
RBLOG LOGISTICA LTDA;;;;;;;;;;;;;;;;;Sanyuu Corretagem De Seguros Ltda;2025-10-14 0:00:00
COMPANHIA BRASILEIRA DE DISTRIBUICAO;;47.508.411/0001-56;;;;;;;;;;;;;1.320.750,00;;Alper Consultoria E Corretora De Seguros;16/10/2025
AMERICANAS S.A - EM RECUPERACAO JUDICIAL;;00.776.574/0006-60;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;16/10/2025
POSTO DE COMBUSTIVEIS ULM LTDA;;42.064.493/0001-73;;;;;;;;;;;;;;;Amura Consultoria E Corretagem De Seguros Ltda.;16/10/2025
EVEREST ENGENHARIA DE INFRAESTRUTURA LTDA;;01.031.503/0001-97;;;;;;;;;;;;;;;Amura Consultoria E Corretagem De Seguros Ltda.;16/10/2025
CREMER S.A.;;82.641.325/0001-18;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;16/10/2025
ACOEM BRASIL LTDA;;;;;;;;;;;;;;;;;Sanyuu Corretagem De Seguros Ltda;2025-10-16 0:00:00
AMAURI EMPREENDIMENTO IMOBILIARIO LTDA;;35.509.619/0001-00;;;;;;;;;;;;;;;Sanyuu Corretagem De Seguros Ltda;17/10/2025
SEVY INCORPORADORA ENGENHARIA E CONSTRUCAO LTDA;;22.258.876/0001-75;;;;;;;;;;;;;;;Amura Consultoria E Corretagem De Seguros Ltda.;17/10/2025
VISCOFAN DO BRASIL SOCIEDADE COMERCIAL E IND. LTDA.;;65.019.655/0001-57;;;;;;;;;;;;;200.000.000,00;;Howden Brasil Consultoria E Corretora De Seguros Ltda;20/10/2025
FITINSUR DESENVOLVIMENTO E LICENCIAMENTO DE SISTEMAS LTDA;;35.673.721/0001-47;;;;;;;;;;;;;1.690.000,00;;J&F Jemfam Corretora De Seguros Ltda;22/10/2025
CRASA INFRAESTRUTURA S/A;;21.339.831/0001-62;;;;;;;;;;;;;92.107.200,00;;Zitta Corretora E Adm De Seguros Ltda;22/10/2025
SINDICATO DOS DESPACHANTES ADUANEIROS DO ESTADO DO RIO GRANDE DO SUL;;02.824.237/0001-12;;;;;;;;;;;;;2.497.818,19;;Alper Consultoria E Corretora De Seguros;23/10/2025
ASSOCIACAO DE ENSINO DE RIBEIRAO PRETO;;55.983.670/0001-67;;;;;;;;;;;;;86.368.857,75;;Alper Consultoria E Corretora De Seguros;23/10/2025
G5 - ENGENHARIA E GERENCIAMENTO LTDA;;05.567.889/0001-07;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;30/10/2025
TRIADE LOTEAMENTOS LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2025-10-30 0:00:00
JR SCARABELLI DISTRIBUIDORA DE CARNES E DERIVADOS LTDA;;40.801.866/0001-16;;;;;;;;;;;;;302.814,61;;Alper Consultoria E Corretora De Seguros;31/10/2025
CM HOSPITALAR S.A.;;12.420.164/0001-57;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;31/10/2025
NOVA DIMENSAO ENGENHARIA LTDA;;02.086.562/0001-25;;;;;;;;;;;;;;;Howden Brasil Consultoria E Corretora De Seguros Ltda;31/10/2025
PLURAL SERVICOS TECNICO LTDA;;14.647.297/0001-96;;;;;;;;;;;;;21.283.121,43;;Lugano Corretora E Agenciadora De Seguros Ltda;05/11/2025
FLEX DO BRASIL LTDA;;03.718.581/0001-90;;;;;;;;;;;;;18.459.200,00;;Howden Brasil Consultoria E Corretora De Seguros Ltda;06/11/2025
FFA INFRAESTRUTURA E SERVICOS LTDA;;08.375.450/0001-70;;;;;;;;;;;;;2.074.477,09;;Alper Consultoria E Corretora De Seguros;17/11/2025
VIACAO SAO JOSE LTDA;;30.741.805/0001-57;;;;;;;;;;;;;;;Lugano Corretora E Agenciadora De Seguros Ltda;17/11/2025
PARK ROAD - ATIVIDADES HOTELEIRAS E IMOBILIARIAS, LTDA;;08.370.479/0001-60;;;;;;;;;;;;;12.801.630,71;;Lugano Corretora E Agenciadora De Seguros Ltda;17/11/2025
SERMACOL COMERCIO E SERVICOS LTDA;;29.912.565/0001-27;;;;;;;;;;;;;1.518.989,01;;Lugano Corretora E Agenciadora De Seguros Ltda;25/11/2025
BARRA RIO INDUSTRIA, COMERCIO E SERVICOS LTDA;;12.158.919/0001-97;;;;;;;;;;;;;1.215.553,60;;Lugano Corretora E Agenciadora De Seguros Ltda;26/11/2025
GLOBAL SHIP SERVICE LTDA;;09.444.141/0001-78;;;;;;;;;;;;;12.577.660,45;;Howden Brasil Consultoria E Corretora De Seguros Ltda;26/11/2025
ID TV S.A.;;16.936.928/0001-12;;;;;;;;;;;;;500.000,00;;Alper Consultoria E Corretora De Seguros;05/12/2025
KALUNGA SA;;43.283.811/0001-50;;;;;;;;;;;;;60.623.100,00;;Alper Consultoria E Corretora De Seguros;08/12/2025
PROMED - SERVICOS EM SAUDE LTDA;;03.570.722/0001-70;;;;;;;;;;;;;8.522.289,00;;Howden Brasil Consultoria E Corretora De Seguros Ltda;10/12/2025
POWER - SEGURANCA E VIGILANCIA LTDA;;54.506.589/0006-38;;;;;;;;;;;;;51.206.250,00;;Howden Brasil Consultoria E Corretora De Seguros Ltda;11/12/2025
AGRO PECUARIA BOA VISTA SA;;43.975.838/0001-03;;;;;;;;;;;;;200.000.000,00;;Alper Consultoria E Corretora De Seguros;11/12/2025
BAUDUCCO & CIA LTDA;;49.033.004/0001-65;;;;;;;;;;;;;;;J&F Jemfam Corretora De Seguros Ltda;15/12/2025
MANCHESTER DISTRIBUIDORA DE FERRO E ACO LTDA;;;;;;;;;;;;;;;;;Lugano Corretora E Agenciadora De Seguros Ltda;2025-12-15 0:00:00
DTA CARGO LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2025-12-22 0:00:00
BRAVO SERVICOS LOGISTICOS LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2025-12-29 0:00:00
QFROTAS SISTEMAS LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-01-03 0:00:00
SENDAS DISTRIBUIDORA S.A;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-01-06 0:00:00
TEL CENTRO DE CONTATOS LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-01-08 0:00:00
MERCURIO ALIMENTOS;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-01-12 0:00:00
IGARAPAVA SANEAMENTO S.A.;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-01-13 0:00:00
BBL ENGENHARIA, CONSTRUÇÃO E COMÉRCIO LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-01-16 0:00:00
ENGETH INFRA- ESTRUTURA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-01-22 0:00:00
CB CONSTRUCOES LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-01-23 0:00:00
VALTELLINA DO BRASIL SERVIÇOS PARA INDUSTRIA LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-01-26 0:00:00
HOWBE TECNOLOGIA E SOLUCOES LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-01-26 0:00:00
SOLID ATIVOS IMOBILIARIOS S.A;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-01-26 0:00:00
SANTANDER SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.;;07.707.650/0001-10;;;;;;;;;;;;;200.000.000,00;;Howden Brasil Consultoria E Corretora De Seguros Ltda;28/01/2026
CTC INFRA & CONSTRUCOES LTDA;;03.998.869/0001-65;;;;;;;;;;;;;30.000.000,00;;Lugano Corretora E Agenciadora De Seguros Ltda;28/01/2026
VINX INCORPORADORA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-01-28 0:00:00
RENOVA ENERGIA S/A;;08.534.605/0001-74;;;;;;;;;;;;;200.000.000,00;;Howden Brasil Consultoria E Corretora De Seguros Ltda;30/01/2026
RENAISSANCE DO BRASIL HOTELARIA LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-02 0:00:00
SOLAR BEBIDAS S.A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-02 0:00:00
QUEBEC CONSTRUÇÕES E TECNOLOGIA AMBIENTAL S.A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-02 0:00:00
MAK SERVICOS E PAVIMENTACOES LTDA;;13.137.265/0001-88;;;;;;;;;;;;;40.501.622,80;;Lugano Corretora E Agenciadora De Seguros Ltda;03/02/2026
ASSOCIAÇÃO BENEFICENTE JOÃO PAULO II;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-03 0:00:00
RESTAURANTE PRAÇA PAULISTA;;;;;;;;;;;;;;;;;Lugano Corretora E Agenciadora De Seguros Ltda;2026-02-03 0:00:00
RCA REVESTIMENTOS E CONSTRUCOES LTDA;;;;;;;;;;;;;;;;;Lugano Corretora E Agenciadora De Seguros Ltda;2026-02-03 0:00:00
ENGEFORT SISTEMA AVANCADO DE SEGURANCA LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-04 0:00:00
GMIL TRANSPORTES;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-02-05 0:00:00
COMERCIAL E CONSTRUTORA JMV LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-05 0:00:00
FATOR HOLDING S.A;;12.215.708/0001-49;;;;;;;;;;;;;87.997.950,00;;M7 Soluções E Corretora De Seguros Ltda;06/02/2026
ARENA BSB SPE S/A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-06 0:00:00
PITANGUEIRAS ACUCAR E ALCOOL LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-02-06 0:00:00
D. FILIPA EVENTOS LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-02-06 0:00:00
SLC AGRÍCOLA S.A;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-02-07 0:00:00
INFRACON ENGENHARIA E COMERCIO LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-09 0:00:00
TELESPAZIO BRASIL S.A.;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-09 0:00:00
GRUPO EMBELLEZE |;;;;;;;;;;;;;;;;;Dh7 Corretora De Seguros Ltda;2026-02-09 0:00:00
SÃO SALVADOR ALIMENTOS S/A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-11 0:00:00
SUPER TERMINAIS COMÉRCIO E INDÚSTRIA LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-11 0:00:00
GRUPO ORIZON;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-11 0:00:00
BOVEN COMERCIALIZADORA DE ENERGIA LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-02-11 0:00:00
INTERNATIONAL PUBLICITY;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-02-12 0:00:00
RPM BRASIL LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-02-12 0:00:00
FRIGORÍFICO AVÍCOLA VOTUPORANGA LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-13 0:00:00
GUIMARAES CONSTRUCAO E ADMINISTRACAO LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-13 0:00:00
IPTRUST ADVANCE TECNOLOGIA DA INFORMACAO LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-02-13 0:00:00
BANCO DO EMPREENDEDOR;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-02-13 0:00:00
SPE SÃO PAULO SUL S.A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-18 0:00:00
AIR LESS SERRANA SERVICOS LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-02-18 0:00:00
SOLUCOES INTELIGENTES OPERADORES PORTUARIOS LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-02-18 0:00:00
REP ENGENHARIA E SERVICOS LTD;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-19 0:00:00
GRUPO OXE;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-02-19 0:00:00
CAMERITE SISTEMAS S.A;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-02-20 0:00:00
GUAÇU EMBALAGENS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-23 0:00:00
KAMARI PARTICIPACOES S.A.;;43.513.998/0001-30;;;;;;;;;;;;;0,70;;J&F Jemfam Corretora De Seguros Ltda;24/02/2026
GR SEGURANÇA;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-02-24 0:00:00
ALIANÇA SAÚDE PARTICIPAÇÕES LTDA;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-02-24 0:00:00
LOTRANS LOGISTICA TRANSPORTES DE CARGAS COMERCIO E SERVICOS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-26 0:00:00
CONSORCIO APOIO PARÁ;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-02-26 0:00:00
GNPW Participações S.A;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-02-27 0:00:00
ORIGEM ENERGIA SA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-03 0:00:00
CENTRO EDUCACIONAL SAINT HELENA LTDA;;;;;;;;;;;;;;;;;Lugano Corretora E Agenciadora De Seguros Ltda;2026-03-03 0:00:00
MASKAN CONSTRUTORA E INCORPORADORA LTDA;;13.873.978/0001-00;;;;;;;;;;;;;29.834.731,17;;Alper Consultoria E Corretora De Seguros;06/03/2026
AGE Administração e Participações S.A;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-03-06 0:00:00
IMSB INDÚSTRIA DE MÁQUINAS E EQUIPAMENTOS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-09 0:00:00
MANAGER 7;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-09 0:00:00
HUB SERVIÇOS DE COMUNICAÇÃO LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-09 0:00:00
ROLDÃO ATACADISTA;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-03-09 0:00:00
KANIA INDUSTRIA E COMERCIO DE ACUMULADORES LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-10 0:00:00
BLOCO DE ONZE AEROPORTOS DO BRASIL S.A;;48.725.405/0001-13;;;;;;;;;;;;;200.000.000,00;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;11/03/2026
AEROPORTOS DO NORDESTE DO BRASIL S.A.;;33.919.741/0001-20;;;;;;;;;;;;;200.000.000,00;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;11/03/2026
DEMANDA BARBOSA MELO;;;;;;;;;;;;;;;;;Dh7 Corretora De Seguros Ltda;2026-03-11 0:00:00
